id,name,abbrev,logo,build_up_play_speed,build_up_play_dribble,build_up_play_passing,creation_date
177361,Termalica Bruk-Bet Nieciecza,TBN,https://example.com/logos/177361.png,,,,
9773,FC Porto,POR,https://example.com/logos/9773.png,Fast,Normal,Mixed,2015-09-10
9807,CF Os Belenenses,BEL,https://example.com/logos/9807.png,Balanced,Normal,Mixed,2015-09-10
9768,Sporting CP,SCP,https://example.com/logos/9768.png,Balanced,Normal,Mixed,2015-09-10
7992,Trofense,TRO,https://example.com/logos/7992.png,,,,
7844,Vitória Guimarães,GUI,https://example.com/logos/7844.png,Balanced,Normal,Mixed,2015-09-10
10238,Vitória Setúbal,SET,https://example.com/logos/10238.png,Balanced,Normal,Mixed,2015-09-10
6403,FC Paços de Ferreira,FER,https://example.com/logos/6403.png,Balanced,Normal,Mixed,2015-09-10
10264,SC Braga,BRA,https://example.com/logos/10264.png,Balanced,Normal,Mixed,2015-09-10
10213,Amadora,AMA,https://example.com/logos/10213.png,,,,
10215,Académica de Coimbra,ACA,https://example.com/logos/10215.png,Balanced,Normal,Mixed,2015-09-10
7841,Rio Ave FC,RA,https://example.com/logos/7841.png,Balanced,Normal,Mixed,2015-09-10
9772,SL Benfica,BEN,https://example.com/logos/9772.png,Fast,Normal,Mixed,2015-09-10
6421,Leixões SC,LEI,https://example.com/logos/6421.png,Slow,Little,Short,2010-02-22
10214,CD Nacional,NAC,https://example.com/logos/10214.png,Balanced,Normal,Mixed,2015-09-10
9809,Naval 1° de Maio,NAV,https://example.com/logos/9809.png,Balanced,Little,Mixed,2011-02-22
10212,CS Marítimo,MAR,https://example.com/logos/10212.png,Balanced,Normal,Mixed,2015-09-10
9771,"União de Leiria, SAD",ULE,https://example.com/logos/9771.png,Balanced,Little,Mixed,2012-02-22
2033,S.C. Olhanense,OLH,https://example.com/logos/2033.png,Balanced,Normal,Mixed,2014-09-19
9765,Portimonense,POR,https://example.com/logos/9765.png,,,,
10211,SC Beira Mar,B-M,https://example.com/logos/10211.png,Balanced,Little,Mixed,2013-09-20
4064,Feirense,FEI,https://example.com/logos/4064.png,,,,
9764,Gil Vicente FC,GV,https://example.com/logos/9764.png,Fast,Lots,Mixed,2015-09-10
8348,Moreirense FC,MOR,https://example.com/logos/8348.png,Balanced,Normal,Mixed,2015-09-10
7842,Estoril Praia,EST,https://example.com/logos/7842.png,Balanced,Normal,Mixed,2015-09-10
158085,FC Arouca,ARO,https://example.com/logos/158085.png,Balanced,Normal,Mixed,2015-09-10
6547,FC Penafiel,PEN,https://example.com/logos/6547.png,Balanced,Normal,Mixed,2015-09-10
8613,Boavista FC,BOA,https://example.com/logos/8613.png,Balanced,Normal,Mixed,2015-09-10
6367,Uniao da Madeira,MAD,https://example.com/logos/6367.png,,,,
188163,Tondela,TON,https://example.com/logos/188163.png,,,,
8596,Falkirk,FAL,https://example.com/logos/8596.png,Fast,Little,Long,2010-02-22
8548,Rangers,RAN,https://example.com/logos/8548.png,Balanced,Normal,Mixed,2015-09-10
9860,Heart of Midlothian,HEA,https://example.com/logos/9860.png,Balanced,Normal,Mixed,2014-09-19
9927,Motherwell,MOT,https://example.com/logos/9927.png,Balanced,Normal,Mixed,2015-09-10
8597,Kilmarnock,KIL,https://example.com/logos/8597.png,Balanced,Normal,Mixed,2015-09-10
